,Unnamed: 0,index,Frame,HitBounce,X_Ball,Y_Ball,X_Ball_onC,Y_Ball_onC,X_A_onC,Y_A_onC,X_B_onC,Y_B_onC
0,0,0,17,Front_Hit,823,354,1.46,-3.61,-86.0,-173.83,0.82,11.46
1,1,1,31,Front_Hit,825,368,1.38,-1.27,-71.94,-144.51,0.93,10.87
2,2,0,71,Front_Bounce,278,330,-8.86,-1.13,-1.18,-13.52,0.14,11.01
3,3,1,74,Front_Bounce,271,331,-8.86,-1.04,-1.04,-13.14,0.19,11.04
4,4,2,84,Front_Bounce,809,537,0.57,9.87,-0.56,-14.74,-0.02,12.45
5,5,3,87,Front_Bounce,821,531,0.72,9.69,-0.46,-14.2,-0.04,12.47
6,6,2,92,Front_Hit,849,530,1.06,9.64,-0.39,-14.37,-0.04,12.6
7,7,0,123,Back_Boucne,937,125,4.34,-20.19,2.22,-13.25,-0.43,13.97
8,8,0,132,Back_Hit,935,196,3.63,-10.74,3.2,-13.65,-0.54,13.84
9,9,1,141,Back_Hit,860,151,2.3,-16.19,3.92,-13.15,-0.87,14.14
10,10,1,141,Back_Boucne,860,151,2.3,-16.19,3.92,-13.15,-0.87,14.14
11,11,4,152,Front_Bounce,726,296,-0.58,-1.93,4.27,-13.63,-1.61,13.57
12,12,5,161,Front_Bounce,593,519,-2.0,9.38,-32.48,-55.64,-2.08,13.66
13,13,3,172,Front_Hit,464,562,-3.42,10.83,-30.96,-52.95,-2.31,13.47
14,14,2,199,Back_Boucne,694,132,-1.81,-19.32,-0.2,-13.67,-1.35,12.99
15,15,2,218,Back_Hit,631,218,-2.71,-8.73,-30.72,-52.37,0.17,13.84
16,16,3,223,Back_Boucne,735,150,-0.72,-16.6,-30.2,-51.24,0.28,13.84
17,17,3,223,Back_Hit,735,150,-0.72,-16.6,-30.2,-51.24,0.28,13.84
18,18,6,244,Front_Bounce,1039,590,3.07,11.69,-1.98,-14.25,1.86,13.43
19,19,4,249,Front_Hit,1116,577,3.99,11.29,-1.65,-14.58,2.46,13.7
20,20,4,277,Back_Boucne,920,133,3.84,-19.02,-30.4,-52.05,2.74,13.83
21,21,5,281,Back_Boucne,920,133,3.88,-18.67,1.54,-14.4,2.38,13.83
22,22,4,289,Back_Hit,937,209,3.54,-9.54,2.48,-13.98,1.63,13.62
23,23,5,289,Back_Hit,929,172,3.68,-13.71,2.48,-13.98,1.63,13.62
24,24,6,310,Back_Boucne,766,189,0.08,-11.6,3.58,-14.27,-0.43,12.18
25,25,6,310,Back_Hit,766,189,0.08,-11.6,3.58,-14.27,-0.43,12.18
26,26,7,327,Front_Bounce,594,415,-2.36,5.04,2.5,-14.31,-2.08,11.76
27,27,8,336,Front_Bounce,511,488,-3.19,8.16,-30.46,-52.03,-2.59,11.77
28,28,5,343,Front_Hit,451,505,-3.86,8.82,1.34,-14.25,-2.78,11.77
